Starting Month \ Gallons in type,3 in,6 in,Grade,Vertical,Total in 1 month
May 2021,XX,XX,XX,XX,XX
June 2021,711.85,"1,865.11",699.58,644.37,"3,920.92"
July 2021,707.39,"1,753.18",779.88,"1,248.20","4,488.65"
August 2021,654.93,"1,420.33",763.82,"1,562.56","4,401.62"
September 2021,645.12,"1,360.93",687.9,"1,589.25","4,283.20"
October 2021,759.12,"1,446.03",536.84,"1,417.41","4,159.41"
November 2021,831.91,"1,382.11",347.31,784.22,"3,345.56"
December 2021,847.89,"1,312.07",314.53,882.38,"3,356.87"
January 2022,901.09,"1,431.08",249.52,765.82,"3,347.51"
February 2022,856.83,"1,643.24",227.7,162.06,"2,889.84"
March 2022,972.48,"1,996.48",259.27,41.56,"3,269.79"
April 2022,998.54,"2,357.42",496.68,142.36,"3,995.00"
May 2022,"1,032.75","2,489.95",592.14,44.03,"4,158.88"
June 2022,"1,006.74","2,446.54",646.88,118.75,"4,218.92"
July 2022,"1,024.28","2,499.20",800.9,225.44,"4,549.82"
August 2022,"1,000.58","2,212.49",796.93,120.62,"4,130.61"
September 2022,985.66,"2,340.43",738.42,198.34,"4,262.86"
October 2022,"1,009.71","2,512.00","1,137.47",257.94,"4,917.12"
November 2022,985.85,"2,524.86",664.06,254.41,"4,429.19"
December 2022,953.36,"2,274.45",474,70.21,"3,772.03"
January 2023,"1,001.49","2,457.08",616.74,88.38,"4,163.68"
February 2023,911.12,"2,419.71",369.33,121.2,"3,821.35"
March 2023,937.37,"2,771.64",397.15,151.81,"4,257.97"
April 2023,942.73,"3,001.17",453.8,349.97,"4,747.68"
May 2023,723.07,"1,750.03",635.28,"1,378.75","4,487.13"
June 2023,618.69,"1,465.82",798.71,"1,180.63","4,063.86"
July 2023,627.86,"1,581.57","1,049.89","1,486.97","4,746.29"
August 2023,592,"1,590.23",876.79,"1,652.26","4,711.28"
September 2023,536.72,"1,531.36",701,"1,711.88","4,480.96"
October 2023,501.09,"1,656.96","1,008.56","1,535.03","4,701.64"
November 2023,473.6,"1,811.32",606.34,"1,263.90","4,155.15"
December 2023,96.54,"1,765.27",512.92,924.63,"3,299.37"
January 2024,467.83,"1,872.32",364.04,598.7,"3,302.89"
February 2024,460.23,"1,777.11",335.34,420.82,"2,993.50"
March 2024,480.52,"1,900.90",331.79,588.52,"3,301.72"
April 2024,471.35,"1,890.97",388.32,760.48,"3,511.12"
May 2024,463.53,"1,835.95",540.15,883.63,"3,723.26"
